,genre_list
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure']",13
"['Real Time Strategy (RTS)', 'Strategy', 'Adventure']",13
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",13
"['Platform', 'Puzzle', 'Adventure', 'Arcade']",13
"['Music', 'Puzzle']",13
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie']",13
"['Puzzle', 'Adventure', 'Arcade']",13
"['Fighting', 'Simulator', 'Sport']",13
"['Fighting', 'Racing']",13
"['Platform', 'Role-playing (RPG)', 'Indie']",13
"['Point-and-click', 'Puzzle']",13
"['Strategy', ""Hack and slash/Beat 'em up""]",13
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",13
"['Music', 'Adventure', 'Indie']",12
"['Shooter', 'Strategy', 'Arcade']",12
"['Role-playing (RPG)', 'Adventure', 'Visual Novel']",12
"['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",12
"['Racing', 'Simulator', 'Sport', 'Adventure', 'Indie']",12
"['Puzzle', 'Simulator', 'Strategy']",12
"['Role-playing (RPG)', 'Strategy', 'Tactical', 'Indie']",12
"['Shooter', 'Music']",12
"['Platform', 'Sport']",12
"['Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",12
"['Shooter', 'Simulator', 'Strategy', 'Indie']",12
"['Puzzle', 'Pinball']",12
"['Simulator', 'Sport', 'Adventure', 'Indie']",12
"['Puzzle', 'Adventure', 'Indie', 'Arcade']",11
"['Simulator', 'Visual Novel']",11
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",11
"['Puzzle', 'Strategy', 'Quiz/Trivia']",11
"['Simulator', 'Pinball']",11
"['Indie', 'Visual Novel']",11
"['Turn-based strategy (TBS)', 'Card & Board Game']",11
"['Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",11
"['Sport', 'Card & Board Game']",11
"['Puzzle', 'Simulator', 'Adventure']",11
"['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",11
['MOBA'],11
"['Role-playing (RPG)', 'Sport', 'Adventure']",11
"['Simulator', 'Card & Board Game']",10
"['Puzzle', 'Turn-based strategy (TBS)']",10
"['Platform', 'Racing', 'Arcade']",10
"['Fighting', 'Shooter', 'Racing']",10
"['Fighting', 'Role-playing (RPG)', 'Adventure', 'Indie']",10
"['Fighting', 'Platform', 'Indie']",10
"['Fighting', 'Sport', ""Hack and slash/Beat 'em up""]",10
"['Role-playing (RPG)', 'Card & Board Game']",10
"['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure']",10
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Adventure']",10
"['Quiz/Trivia', 'Adventure']",10
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Indie']",10
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",10
"['Shooter', 'Platform', 'Puzzle', 'Adventure']",10
['Tactical'],10
"['Racing', 'Simulator', 'Sport', 'Arcade']",9
"['Shooter', 'Puzzle', 'Arcade']",9
